case_id,block,family,tier,truth,G-1407BDDB752D.prediction,G-1407BDDB752D.exact,G-1407BDDB752D.term_accuracy,G-1407BDDB752D.term_correct,G-1407BDDB752D.format_compliant,G-1407BDDB752D.proposal_plurality,G-1407BDDB752D.proposal_plurality_exact,G-1407BDDB752D.override,G-1407BDDB752D.harmful_override,G-1407BDDB752D.useful_override,G-1407BDDB752D.terminal_job_id,G-1407BDDB752D.completed_proposals,G-1407BDDB752D.valid_proposals,G-1407BDDB752D.calls,G-1407BDDB752D.input_tokens,G-1407BDDB752D.output_tokens,G-1407BDDB752D.cost_usd,G-1407BDDB752D.latency_ms,G-236ED23A587B.prediction,G-236ED23A587B.exact,G-236ED23A587B.term_accuracy,G-236ED23A587B.term_correct,G-236ED23A587B.format_compliant,G-236ED23A587B.proposal_plurality,G-236ED23A587B.proposal_plurality_exact,G-236ED23A587B.override,G-236ED23A587B.harmful_override,G-236ED23A587B.useful_override,G-236ED23A587B.terminal_job_id,G-236ED23A587B.completed_proposals,G-236ED23A587B.valid_proposals,G-236ED23A587B.calls,G-236ED23A587B.input_tokens,G-236ED23A587B.output_tokens,G-236ED23A587B.cost_usd,G-236ED23A587B.latency_ms,G-264C5E480510.prediction,G-264C5E480510.exact,G-264C5E480510.term_accuracy,G-264C5E480510.term_correct,G-264C5E480510.format_compliant,G-264C5E480510.proposal_plurality,G-264C5E480510.proposal_plurality_exact,G-264C5E480510.override,G-264C5E480510.harmful_override,G-264C5E480510.useful_override,G-264C5E480510.terminal_job_id,G-264C5E480510.completed_proposals,G-264C5E480510.valid_proposals,G-264C5E480510.calls,G-264C5E480510.input_tokens,G-264C5E480510.output_tokens,G-264C5E480510.cost_usd,G-264C5E480510.latency_ms,G-52E910BC671D.prediction,G-52E910BC671D.exact,G-52E910BC671D.term_accuracy,G-52E910BC671D.term_correct,G-52E910BC671D.format_compliant,G-52E910BC671D.proposal_plurality,G-52E910BC671D.proposal_plurality_exact,G-52E910BC671D.override,G-52E910BC671D.harmful_override,G-52E910BC671D.useful_override,G-52E910BC671D.terminal_job_id,G-52E910BC671D.completed_proposals,G-52E910BC671D.valid_proposals,G-52E910BC671D.calls,G-52E910BC671D.input_tokens,G-52E910BC671D.output_tokens,G-52E910BC671D.cost_usd,G-52E910BC671D.latency_ms,G-6F23EB184B37.prediction,G-6F23EB184B37.exact,G-6F23EB184B37.term_accuracy,G-6F23EB184B37.term_correct,G-6F23EB184B37.format_compliant,G-6F23EB184B37.proposal_plurality,G-6F23EB184B37.proposal_plurality_exact,G-6F23EB184B37.override,G-6F23EB184B37.harmful_override,G-6F23EB184B37.useful_override,G-6F23EB184B37.terminal_job_id,G-6F23EB184B37.completed_proposals,G-6F23EB184B37.valid_proposals,G-6F23EB184B37.calls,G-6F23EB184B37.input_tokens,G-6F23EB184B37.output_tokens,G-6F23EB184B37.cost_usd,G-6F23EB184B37.latency_ms,G-A23A4824383F.prediction,G-A23A4824383F.exact,G-A23A4824383F.term_accuracy,G-A23A4824383F.term_correct,G-A23A4824383F.format_compliant,G-A23A4824383F.proposal_plurality,G-A23A4824383F.proposal_plurality_exact,G-A23A4824383F.override,G-A23A4824383F.harmful_override,G-A23A4824383F.useful_override,G-A23A4824383F.terminal_job_id,G-A23A4824383F.completed_proposals,G-A23A4824383F.valid_proposals,G-A23A4824383F.calls,G-A23A4824383F.input_tokens,G-A23A4824383F.output_tokens,G-A23A4824383F.cost_usd,G-A23A4824383F.latency_ms
T01,training-b01,LAGPOLY,hard,"[""28"",""-4"",""32"",""-6"",""36""]","[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""28"",""-4"",""32"",""-6"",""36""]",1,1.0,5,1,"[""28"",""-4"",""32"",""-6"",""36""]",1,0,0,0,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T02,training-b01,GROWBLOCK,hard,"[""7"",""4"",""1"",""18"",""15""]","[""7"",""4"",""1"",""18"",""15""]",1,1.0,5,1,"[""7"",""4"",""1"",""18"",""15""]",1,0,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""7"",""4"",""1"",""18"",""15""]",1,1.0,5,1,"[""27"",""24"",""21"",""41"",""38""]",0,1,0,1,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""27"",""24"",""21"",""41"",""38""]",0,0.0,0,1,"[""7"",""4"",""21"",""18"",""15""]",0,1,0,0,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""27"",""24"",""21"",""41"",""38""]",0,0.0,0,1,"[""27"",""24"",""21"",""41"",""38""]",0,0,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""27"",""24"",""21"",""18"",""15""]",0,0.4,2,1,"[""27"",""24"",""21"",""41"",""38""]",0,1,0,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""7"",""4"",""1"",""-2"",""15""]",0,0.8,4,1,"[""7"",""4"",""1"",""-2"",""15""]",0,0,0,0,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T03,training-b01,GROWBLOCK,stress,"[""39"",""17"",""-5"",""-27"",""-49""]","[""39"",""17"",""-5"",""-27"",""-49""]",1,1.0,5,1,"[""39"",""17"",""-5"",""-27"",""-49""]",1,0,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1.0,5,1,"[""39"",""17"",""-5"",""-27"",""-49""]",1,0,0,0,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""41"",""19"",""-3"",""-25"",""-47""]",0,0.0,0,1,"[""-66"",""-84"",""-102"",""-120"",""-138""]",0,1,0,0,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1.0,5,1,"[""39"",""17"",""-5"",""-27"",""-49""]",1,0,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""-66"",""-84"",""39"",""17"",""-5""]",0,0.0,0,1,"[""-66"",""-84"",""-102"",""-120"",""-138""]",0,1,0,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""39"",""17"",""-5"",""-27"",""-49""]",1,1.0,5,1,"[""-66"",""-84"",""-102"",""-120"",""-138""]",0,1,0,1,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T04,training-b01,AFFINE,stress,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]","[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""-791740"",""1583478"",""395867"",""-9500860"",""19001718""]",0,1,0,1,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""-791740"",""1583478"",""395867"",""-9500860"",""19001718""]",0,1,0,1,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""-791740"",""1583478"",""395867"",""-9500860"",""19001718""]",0,1,0,1,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""-791740"",""1583478"",""395867"",""-9500860"",""19001718""]",0,1,0,1,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""-791740"",""1583478"",""395867"",""-9500860"",""19001718""]",0,1,0,1,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""395867"",""-791740"",""1583478"",""4750427"",""-9500860""]",1,1.0,5,1,"[""-263918"",""-791761"",""1583516"",""-3177038"",""-9531115""]",0,1,0,1,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T05,training-b01,POLY,stress,"[""-6883"",""-11558"",""-18314"",""-27752"",""-40576""]","[""-5727"",""-8827"",""-13502"",""-20258"",""-29696""]",0,0.0,0,1,"[""-6423"",""-9720"",""-12870"",""-16200"",""-19683""]",0,1,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""-6883"",""-11558"",""-18314"",""-24472"",""-33391""]",0,0.6,3,1,"[""-5719"",""-6851"",""-8378"",""-10379"",""-12941""]",0,1,0,0,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""-5719"",""-8787"",""-13382"",""-19978"",""-29136""]",0,0.0,0,1,"[""-5719"",""-8787"",""-13382"",""-19978"",""-29136""]",0,0,0,0,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""-5727"",""-8827"",""-13502"",""-20258"",""-29696""]",0,0.0,0,1,"[""-5727"",""-8827"",""-13502"",""-20258"",""-29696""]",0,0,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""-5719"",""-8787"",""-13382"",""-19978"",""-29136""]",0,0.0,0,1,"[""-5719"",""-8787"",""-13382"",""-19978"",""-29136""]",0,0,0,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""-6883"",""-11558"",""-18314"",""-27752"",""-40576""]",1,1.0,5,1,"[""-5703"",""-8707"",""-13142"",""-19418"",""-28008""]",0,1,0,1,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T06,training-b01,LAGPOLY,stress,"[""-3"",""65"",""38"",""5"",""11""]","[""38"",""5"",""-3"",""65"",""59""]",0,0.0,0,1,"[""38"",""5"",""27"",""53"",""59""]",0,1,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""-3"",""65"",""38"",""5"",""11""]",1,1.0,5,1,"[""1"",""65"",""38"",""5"",""21""]",0,1,0,1,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""-3"",""65"",""38"",""5"",""11""]",1,1.0,5,1,"[""-1"",""65"",""38"",""5"",""14""]",0,1,0,1,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""38"",""5"",""-3"",""65"",""56""]",0,0.0,0,1,"[""-40"",""-37"",""32"",""5"",""8""]",0,1,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""-4"",""65"",""38"",""5"",""11""]",0,0.8,4,1,"[""-4"",""65"",""38"",""5"",""11""]",0,0,0,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""38"",""5"",""-3"",""65"",""56""]",0,0.0,0,1,"[""38"",""5"",""-3"",""65"",""56""]",0,0,0,0,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T07,training-b01,POLY,hard,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]","[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1.0,5,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,0,0,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3183""]",0,0.8,4,1,"[""-1345"",""-1722"",""-2163"",""-2673"",""-3257""]",1,1,1,0,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T08,training-b01,MODAFFINE,very-hard,"[""43"",""61"",""63"",""8"",""65""]","[""0"",""47"",""91"",""13"",""74""]",0,0.0,0,1,"[""-12"",""-4"",""-31"",""-5"",""-43""]",0,1,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""101"",""95"",""118"",""160"",""141""]",0,0.0,0,1,"[""232"",""224"",""18"",""-41"",""395""]",0,1,0,0,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""-18"",""31"",""-5"",""40"",""-12""]",0,0.0,0,1,"[""-18"",""31"",""-5"",""40"",""-12""]",0,0,0,0,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""44"",""51"",""12"",""74"",""43""]",0,0.0,0,1,"[""44"",""51"",""12"",""74"",""43""]",0,0,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""11"",""35"",""76"",""92"",""39""]",0,0.0,0,1,"[""11"",""35"",""76"",""92"",""39""]",0,0,0,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""-31"",""77"",""41"",""84"",""8""]",0,0.0,0,1,"[""-10"",""-42"",""-30"",""-63"",""-40""]",0,1,0,0,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T09,training-b01,PDELTA,very-hard,"[""-225"",""-253"",""-299"",""-332"",""-384""]","[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-208"",""-236"",""-282"",""-315"",""-361""]",0,1,0,1,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-293"",""-321"",""-361""]",0,1,0,1,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""-190"",""-230"",""-263"",""-309"",""-347""]",0,0.0,0,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1,1,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,1.0,5,1,"[""-225"",""-253"",""-299"",""-332"",""-384""]",1,0,0,0,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T10,training-b01,INTERLEAVE,very-hard,"[""44"",""56"",""10"",""-84"",""78""]","[""44"",""56"",""10"",""-84"",""78""]",1,1.0,5,1,"[""44"",""56"",""10"",""-84"",""78""]",1,0,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""8"",""44"",""56"",""10"",""-84""]",0,0.0,0,1,"[""44"",""56"",""10"",""108"",""73""]",0,1,0,0,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""64"",""56"",""10"",""128"",""78""]",0,0.6,3,1,"[""64"",""56"",""10"",""128"",""78""]",0,0,0,0,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""44"",""56"",""10"",""-84"",""12""]",0,0.8,4,1,"[""44"",""56"",""10"",""-84"",""12""]",0,0,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""8"",""44"",""56"",""10"",""-84""]",0,0.0,0,1,"[""10"",""44"",""56"",""12"",""172""]",0,1,0,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""-74"",""-46"",""83"",""113"",""168""]",0,0.0,0,1,"[""-74"",""-46"",""83"",""113"",""168""]",0,0,0,0,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T11,training-b01,AFFINE,hard,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]","[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,1.0,5,1,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,0,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,1.0,5,1,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,0,0,0,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,1.0,5,1,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,0,0,0,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,1.0,5,1,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,0,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,1.0,5,1,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,0,0,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,1.0,5,1,"[""-16383"",""-32767"",""-65535"",""-131071"",""-262143""]",1,0,0,0,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
T12,training-b01,LIN2,very-hard,"[""43684"",""87391"",""174754"",""349537"",""699040""]","[""43684"",""87391"",""174754"",""349537"",""699040""]",1,1.0,5,1,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,0,0,0,search-g1-G-1407BDDB752D-training-b01-judge,7,7,10,135875.0,31704.0,0.0,616383.0,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,1.0,5,1,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,0,0,0,search-g1-G-236ED23A587B-training-b01-judge,9,9,10,125830.0,32057.0,0.0,640563.0,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,1.0,5,1,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,0,0,0,search-g1-G-264C5E480510-training-b01-judge,7,7,10,135502.0,28092.0,0.0,571134.0,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,1.0,5,1,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,0,0,0,search-g1-G-52E910BC671D-training-b01-judge,5,5,10,141970.0,25770.0,0.0,509179.0,"[""43684"",""87391"",""174760"",""349543"",""699064""]",0,0.4,2,1,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,1,1,0,search-g1-G-6F23EB184B37-training-b01-judge,9,9,10,125809.0,32467.0,0.0,635381.0,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,1.0,5,1,"[""43684"",""87391"",""174754"",""349537"",""699040""]",1,0,0,0,search-g1-G-A23A4824383F-training-b01-judge,7,7,10,135490.0,30587.0,0.0,602372.0
